character,short description,tags,LLM description
🤜🏿,RIGHT-FACING FIST DARK SKIN TONE,"['fist' 'strength' 'unity' 'solidarity' 'power' 'togetherness' 'support'
 'dark skin tone']","This emoji shows a right-facing fist with a dark skin tone, representing strength, unity, and solidarity, often used to express support for a cause or to symbolize the power of togetherness."
🤜🏻,RIGHT-FACING FIST LIGHT SKIN TONE,"['fist' 'strength' 'unity' 'solidarity' 'light skin tone' 'politics'
 'social movements']","This emoji represents a right-facing fist with a light skin tone, often used to symbolize strength, unity, and solidarity in various social and political movements."
🤜🏾,RIGHT-FACING FIST MEDIUM-DARK SKIN TONE,"['fist' 'strength' 'unity' 'solidarity' 'agreement' 'support'
 'medium-dark skin tone']","This emoji shows a right-facing fist with medium-dark skin tone, representing strength, unity, and solidarity, often used to express support for a cause or to show agreement."
🤜🏼,RIGHT-FACING FIST MEDIUM-LIGHT SKIN TONE,"['fist' 'strength' 'unity' 'solidarity' 'medium-light skin tone'
 'politics' 'social movements']","This emoji represents a right-facing fist with a medium-light skin tone, often used to symbolize strength, unity, and solidarity in various social and political movements."
🤜🏽,RIGHT-FACING FIST MEDIUM SKIN TONE,"['fist' 'unity' 'strength' 'solidarity' 'medium skin tone' 'politics'
 'social movements']","This emoji represents a right-facing fist with medium skin tone, often used to symbolize unity, strength, and solidarity in various social and political movements."
🗯️,RIGHT ANGER BUBBLE,"['anger' 'frustration' 'annoyance' 'speech bubble' 'communication'
 'emotion' 'expression']","This emoji represents a speech bubble with a right-pointing anger symbol, often used to express frustration, annoyance, or anger in a conversation or text message."
🗯,RIGHT ANGER BUBBLE,"['speech bubble' 'anger' 'frustration' 'emphasis' 'communication'
 'expression']","This emoji represents a speech bubble with a right-pointing exclamation mark, often used to express anger, frustration, or emphasis in a conversation."
➡️,RIGHT ARROW,['arrow' 'direction' 'movement' 'progression' 'right'],"This emoji represents a right-pointing arrow, often used to indicate direction, movement, or progression towards something."
➡,RIGHT ARROW,['arrow' 'direction' 'movement' 'progression' 'right'],"This emoji represents a right-pointing arrow, often used to indicate direction, movement, or progression towards something."
⤵️,RIGHT ARROW CURVING DOWN,['arrow' 'direction' 'down' 'negative' 'pointing'],"This emoji represents a right arrow curving down, often used to indicate a descending or negative direction, or to point towards something below."
⤵,RIGHT ARROW CURVING DOWN,"['right arrow' 'direction' 'movement' 'downward' 'negative trend'
 'descending']","This emoji represents a right arrow curving down, often used to indicate a direction or movement towards the bottom right, or to show a descending or negative trend."
↩️,RIGHT ARROW CURVING LEFT,['arrow' 'direction' 'pointing' 'change' 'navigation' 'movement'],"This emoji represents a right arrow curving left, often used to indicate a change in direction or to point towards something."
↩,RIGHT ARROW CURVING LEFT,['arrow' 'direction' 'pointing' 'change' 'navigation'],"This emoji represents a right arrow curving left, often used to indicate a change in direction or to point towards something."
⤴️,RIGHT ARROW CURVING UP,['arrow' 'direction' 'progress' 'upward' 'positive' 'movement'],"This emoji represents a right-pointing arrow curving upwards, often used to indicate progress, direction, or movement towards a better or more positive outcome."
⤴,RIGHT ARROW CURVING UP,['arrow' 'direction' 'progress' 'upward' 'positive' 'movement'],"This emoji represents a right arrow curving upwards, often used to indicate progress, direction, or movement towards a better or more positive outcome."
🫱,RIGHTWARDS HAND,['hand' 'right' 'direction' 'pointing' 'assistance' 'greeting'],"This emoji represents a rightwards hand, often used to convey greeting, assistance, or pointing direction."
🫱🏿,RIGHTWARDS HAND DARK SKIN TONE,"['hand' 'rightwards' 'dark skin tone' 'gesture' 'acknowledgment' 'support'
 'greeting']","This emoji represents a rightwards hand with a dark skin tone, often used to convey greeting, support, or acknowledgment in various contexts."
🫱🏻,RIGHTWARDS HAND LIGHT SKIN TONE,['hand' 'rightwards' 'light skin tone' 'greeting' 'assistance' 'pointing'],"This emoji represents a rightwards hand with a light skin tone, often used to convey greeting, assistance, or pointing in various contexts."
🫱🏾,RIGHTWARDS HAND MEDIUM-DARK SKIN TONE,['hand' 'medium-dark skin tone' 'rightwards' 'gesture' 'direction'],"This emoji represents a rightwards hand with a medium-dark skin tone, indicating a hand moving from left to right, often used to convey actions, gestures, or directions."
🫱🏼,RIGHTWARDS HAND MEDIUM-LIGHT SKIN TONE,['hand' 'direction' 'guidance' 'support' 'medium-light skin tone'],"This emoji represents a rightwards hand with a medium-light skin tone, indicating a hand moving from left to right, often used to convey direction, guidance, or support."
🫱🏽,RIGHTWARDS HAND MEDIUM SKIN TONE,['hand' 'medium skin tone' 'greeting' 'help' 'pointing'],"This emoji represents a medium skin tone rightwards hand, often used to convey greeting, help, or pointing in various contexts."
🫸,RIGHTWARDS PUSHING HAND,['hand' 'push' 'rightwards' 'progress' 'encouragement' 'direction'],"This emoji represents a hand pushing rightwards, often used to convey the action of moving forward, encouraging progress, or giving a gentle nudge towards a specific direction."
🫸🏿,RIGHTWARDS PUSHING HAND DARK SKIN TONE,"['hand' 'pushing' 'right' 'dark skin tone' 'progress' 'encouragement'
 'overcoming']","This emoji shows a hand pushing or shoving to the right, with a dark skin tone, often used to convey the action of moving forward, encouraging progress, or overcoming obstacles."
🫸🏻,RIGHTWARDS PUSHING HAND LIGHT SKIN TONE,['hand' 'pushing' 'guiding' 'encouraging' 'right' 'light skin tone'],"This emoji represents a hand pushing something to the right, with a light skin tone, often used to convey the action of moving forward, encouraging, or guiding someone or something."
🫸🏾,RIGHTWARDS PUSHING HAND MEDIUM-DARK SKIN TONE,"['hand' 'pushing' 'encouragement' 'support' 'medium-dark skin tone'
 'movement' 'forward']","This emoji shows a hand with the palm facing forward, pushing forward, with a medium-dark skin tone. It can be used to represent encouragement, support, or the act of moving forward in various situations."
🫸🏼,RIGHTWARDS PUSHING HAND MEDIUM-LIGHT SKIN TONE,"['hand' 'pushing' 'guiding' 'encouraging' 'medium-light skin tone'
 'action']","This emoji shows a hand with the palm facing forward, pushing forward, represented in a medium-light skin tone. It can be used to convey the action of pushing, encouraging, or guiding someone or something."
🫸🏽,RIGHTWARDS PUSHING HAND MEDIUM SKIN TONE,['hand' 'medium skin tone' 'rightwards' 'push' 'direction' 'action'],"This emoji represents a hand with medium skin tone pushing something to the right, often used to convey the action of moving or directing towards a specific direction."
💍,RING,"['ring' 'love' 'commitment' 'marriage' 'engagement' 'relationship'
 'symbol']","This emoji represents a wedding ring, symbolizing love, commitment, and marriage, often used to express engagement, marriage, or romantic relationships."
🛟,RING BUOY,"['ring buoy' 'water safety' 'rescue' 'floating device' 'buoyant'
 'safety equipment' 'swimming']","This emoji represents a ring buoy, a floating device with a circular, buoyant shape, often used in water safety and rescue situations to help people stay afloat."
🪐,RINGED PLANET,"['ringed planet' 'Saturn' 'celestial body' 'space' 'cosmos' 'astronomy'
 'exploration']","This emoji represents a ringed planet, such as Saturn, symbolizing celestial bodies, space exploration, and the beauty of the cosmos."
🍠,ROASTED SWEET POTATO,"['sweet potato' 'roasted' 'vegetable' 'comfort food' 'healthy eating'
 'root vegetable' 'dish']","This emoji represents a roasted sweet potato, a delicious and nutritious root vegetable often enjoyed as a side dish or in various recipes, symbolizing comfort food and healthy eating."
🤖,ROBOT,"['robot' 'technology' 'automation' 'artificial intelligence' 'machine'
 'engineering' 'future']","This emoji represents a robot, a mechanical or artificial entity designed to perform tasks autonomously or under human control, often used to symbolize technology, automation, and artificial intelligence."
🪨,ROCK,"['rock' 'stability' 'strength' 'nature' 'element' 'rock music'
 'rock climbing']","This emoji represents a rock, often used to symbolize stability, strength, and the natural elements, as well as in the context of rock music and rock climbing."
🚀,ROCKET,"['rocket' 'space' 'exploration' 'innovation' 'speed' 'ambition'
 'excitement']","This emoji represents a rocket, symbolizing space exploration, innovation, and speed, often used to express excitement or ambition in various contexts."
🧻,ROLL OF PAPER,['paper towels' 'cleaning' 'hygiene' 'absorbent' 'household' 'utility'],"This emoji represents a roll of paper towels, often used for cleaning up spills, drying hands, or absorbing liquids."
🗞️,ROLLED-UP NEWSPAPER,['newspaper' 'news' 'journalism' 'physical object' 'hitting' 'whacking'],"This emoji represents a rolled-up newspaper, often used to symbolize news, journalism, or a physical object that can be used for hitting or whacking something."
🗞,ROLLED-UP NEWSPAPER,['newspaper' 'news' 'journalism' 'physical object' 'hitting' 'whacking'],"This emoji represents a rolled-up newspaper, often used to symbolize news, journalism, or a physical object that can be used for hitting or whacking something."
🎢,ROLLER COASTER,"['roller coaster' 'amusement park' 'excitement' 'adventure' 'fun' 'ride'
 'entertainment']","This emoji represents a roller coaster, a thrilling amusement park ride known for its loops, drops, and inversions, often associated with excitement, adventure, and fun."
🛼,ROLLER SKATE,"['roller skate' 'recreation' 'exercise' 'fun' 'activity' 'sport'
 'skate park' 'roller rink']","This emoji represents a roller skate, symbolizing fun, recreation, and a popular activity for exercise and socializing, often used in roller rinks and skate parks."
🤣,ROLLING ON THE FLOOR LAUGHING,"['laughter' 'humor' 'amusement' 'joke' 'funny' 'laughing'
 'rolling on the floor']","This emoji represents someone laughing so hard that they are rolling on the floor, often used to express humor, amusement, or a good joke."
🐓,ROOSTER,['rooster' 'animal' 'farm' 'dawn' 'alertness' 'vigilance' 'poultry'],"This emoji represents a rooster, a common farm animal known for its crowing sound, which symbolizes the start of a new day and is often associated with dawn, vigilance, and alertness."
